connection,username,name,seed_users_following_you
1263967268,HackerNewsOnion,HackerNewsOnion,11
219842088,pdolega,Pawel Dolega,11
399937686,icfp_conference,ICFP Conference,11
11033,lindsey,Lindsey Kuper,11
14524070,rucek,Jacek Kunicki,11
206278538,splashcon,SPLASH Conference,11
259654572,jb9i,jbgi,11
1863443858,predef1,(((predef))),11
16377511,rickasaurus,Richard Minerich,11
113651615,ivanov_d,Dmitry Ivanov,11
22350037,venechka,Eugene Vigdorchik,11
29678151,waxzce,Quentin '🐧' ADAM,11
1382479956,dubochet,Gilles Dubochet,10
1216152452,guyremond,Guy Remond,10
398456924,khatri_chetan,Chetan Khatri 🇮🇳,10
1193160652250066945,zivergetech,ziverge,10
2885646156,bigscala,Scale By the Bay,10
813286,BarackObama,Barack Obama,10
20844341,patio11,Patrick McKenzie,10
137396807,ekrich,Eric Richardson,10
248823377,paf31,Phil Freeman,10
227438195,HairyFotr,HairyFotr,10
2827342884,confluentinc,Confluent,10
3356531254,internetofshit,Internet of Shit,10
1462480255,FunctionalTalks,Functional Talks,10
18388966,tomaspetricek,Tomas Petricek,10
740654618401767424,beatleida,Ida Bzowska,10
16338070,martin_grotzke,Martin Grotzke,10
876620772,czaplic,Evan Czaplicki,10
29454655,killnicole,Vic,10
570562454,jrdesjardins,Jean-Rémi Desjardins,10
899755575604645888,Scalents,Scalents,10
4215027858,cliff_click,Cliff Click,10
24663814,oddan,Odd Möller,10
14335498,newsycombinator,Hacker News,10
7127592,jonoabroad,Jono,10
338024535,bibixdev,Bartosz Bierkowski,10
708573883868291072,reactivesummit,Reactive Summit,10
61169425,lambdamix,Ilya Klyuchnikov,10
8346272,nkpart,Nick Partridge,10
26374950,barambani,Filippo Mariotti,10
2285094571,nickstanch,Nick,10
704335582504292353,ScalaNews_b,Scala PLOW,10
2795705914,ScalazPerDiem,Scalaz Per Diem,10
43968482,LeszekGruchala,Leszek Gruchała,10
15589215,volothamp,Luca Molteni,10
787084593304219648,lteqgt,Sebastian Harko,10
238816780,ZachAMcCoy,Zach McCoy,10
154452733,rssh1,Ruslan Shevchenko,10
15429375,coltfred,Colt Frederickson,10
40228997,snoyberg,Michael Snoyman,10
15155675,smarr,Stefan Marr,10
17645146,aishfenton,Aish Fenton,10
24268304,w7cook,William Cook,10
165262228,rustlang,Rust Language,10
3311870396,ckipp01,Chris Kipp,10
14451677,tackers,Graham Tackley,10
41074991,LunatechLabs,Lunatech,10
501190114,precog,Precog,10
20609518,DalaiLama,Dalai Lama,10
1603266774,MadridScala,Madrid Scala Meetup,10
783339470632484866,Signify_Tech,Signify Technology,10
417198788,makingthematrix,Maciek Gorywoda,10
18271443,chris__martin,Chris Martin,10
68762452,michelschinz,Michel Schinz,10
1934724733,meriamLachkar,Meriam L,10
14368342,DRMacIver,David R. MacIver,10
2902082159,leifbattermann,Leif Battermann,10
458927048,scalatest,ScalaTest,10
11905382,notxcain,Конгруэнтность и актуализация,10
28442980,joshcough,josh cough,10
150,stevej,Steve Jenson,10
915909414191816704,ScalaAtTheSea,Scala at the Sea,10
13251382,mattmight,Matt Might,10
15473958,MarsCuriosity,Curiosity Rover,10
734184738,JohnRose00,John Rose,10
130083828,ymasory,Lily Masory,10
10224712,pcalcado,Phil Calçado,10
